model,device,batch,ctx,baseline,hbm_frac,simulated,ttft_p50,ttft_p99,tpot_p50,tpot_p99,throughput_tps,flash_stall_ms,note
microsoft/phi-2,a40,4,16384,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,39.9316283534031,42.44927090449645,189.02804049837673,0.0,sim 4s
microsoft/phi-2,a40,4,16384,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,39.9316283534031,42.44927090449645,189.02804049837673,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,8,16384,Dense,0.8754,True,-1.6195993760626193,-1.020060287274801,34.443346495749495,34.443346495749495,233.1284981655965,0.0,sim 6s
microsoft/phi-2,a40,8,16384,NaiveSparse,0.8754,True,-1.6195993760626193,-1.020060287274801,34.443346495749495,34.443346495749495,233.1284981655965,0.0,sim 6s
microsoft/phi-2,a40,2,32768,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,46.77830476214973,64.07478372198986,125.10306110178574,0.0,sim 13s
microsoft/phi-2,a40,2,32768,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,46.77830476214973,64.07478372198986,125.10306110178574,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,1,32768,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,sim 16s
microsoft/phi-2,a40,1,32768,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,4,32768,Dense,0.8754,True,-1.6195993760626193,-1.020060287274801,39.9316283534031,42.44927090449645,189.02804049837673,0.0,sim 9s
microsoft/phi-2,a40,4,32768,NaiveSparse,0.8754,True,-1.6195993760626193,-1.020060287274801,39.9316283534031,42.44927090449645,189.02804049837673,0.0,sim 9s
microsoft/phi-2,a40,8,32768,Dense,0.4377,True,-1.6195993760626193,-1.020060287274801,64.03498083700269,64.03498083700269,125.18097785385505,236.73,sim 25s
microsoft/phi-2,a40,8,32768,NaiveSparse,0.4377,True,-1.6195993760626193,-1.020060287274801,64.03498083700269,64.03498083700269,125.18097785385505,236.73,sim 24s
microsoft/phi-2,a40,1,65536,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,sim 19s
microsoft/phi-2,a40,1,65536,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,2,65536,Dense,0.8754,True,-1.6195993760626193,-1.020060287274801,46.77830476214973,64.07478372198986,125.10306110178574,0.0,sim 23s
microsoft/phi-2,a40,2,65536,NaiveSparse,0.8754,True,-1.6195993760626193,-1.020060287274801,46.77830476214973,64.07478372198986,125.10306110178574,0.0,sim 13s
microsoft/phi-2,a40,4,65536,Dense,0.4377,True,-1.6195993760626193,-1.020060287274801,118.46996746200273,126.25041658700273,63.43018933030745,670.41,sim 43s
microsoft/phi-2,a40,4,65536,NaiveSparse,0.4377,True,-1.6195993760626193,-1.020060287274801,118.46996746200273,126.25041658700273,63.43018933030745,670.41,sim 43s
microsoft/phi-2,a40,8,65536,Dense,0.2189,True,-1.6195993760626193,-1.020060287274801,175.96602233700267,175.96602233700267,45.49628964421996,1132.18,sim 60s
microsoft/phi-2,a40,8,65536,NaiveSparse,0.2189,True,-1.6195993760626193,-1.020060287274801,175.96602233700267,175.96602233700267,45.49628964421996,1132.18,sim 60s
microsoft/phi-2,h100,1,524288,Dense,0.4226,True,-1.6195993760626193,-1.020060287274801,640.3202762859097,1024.43593753591,7.810147574398069,7958.29,sim 378s
microsoft/phi-2,h100,1,524288,NaiveSparse,0.4226,True,-1.6195993760626193,-1.020060287274801,640.3202762859097,1024.43593753591,7.810147574398069,7958.29,sim 363s
microsoft/phi-2,a40,1,131072,Dense,0.8754,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,sim 40s
microsoft/phi-2,a40,1,131072,NaiveSparse,0.8754,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,sim 39s
microsoft/phi-2,a40,2,131072,Dense,0.4377,True,-1.6195993760626193,-1.020060287274801,180.67516421200276,249.89629808700278,32.029622205195,1486.57,sim 81s
microsoft/phi-2,a40,2,131072,NaiveSparse,0.4377,True,-1.6195993760626193,-1.020060287274801,180.67516421200276,249.89629808700278,32.029622205195,1486.57,sim 80s
microsoft/phi-2,a40,4,131072,Dense,0.2189,True,-1.6195993760626193,-1.020060287274801,328.3430167120027,349.31727058700267,22.910179067389908,2454.94,sim 113s
microsoft/phi-2,a40,4,131072,NaiveSparse,0.2189,True,-1.6195993760626193,-1.020060287274801,328.3430167120027,349.31727058700267,22.910179067389908,2454.94,sim 112s
microsoft/phi-2,a40,1,262144,NaiveSparse,0.4377,True,-1.6195993760626193,-1.020060287274801,311.2388162859096,497.90560153590997,16.07141836177305,3142.11,sim 178s
microsoft/phi-2,a40,1,262144,Dense,0.4377,True,-1.6195993760626193,-1.020060287274801,311.2388162859096,497.90560153590997,16.07141836177305,3142.11,sim 188s
microsoft/phi-2,a40,2,262144,Dense,0.2189,True,-1.6195993760626193,-1.020060287274801,508.6299537859095,696.7736596609095,11.483591742518588,5061.59,sim 216s
microsoft/phi-2,a40,2,262144,NaiveSparse,0.2189,True,-1.6195993760626193,-1.020060287274801,508.6299537859095,696.7736596609095,11.483591742518588,5061.59,sim 216s
microsoft/phi-2,h200,1,4096,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,18.573759790993282,29.641511144043637,271.0577699392548,0.0,sim 199s
microsoft/phi-2,h200,1,4096,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,18.573759790993282,29.641511144043637,271.0577699392548,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h200,4,4096,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,11.198568596993216,11.820127579977619,684.1922486020097,0.0,sim 6s
