model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s
meta-llama/Meta-Llama-3-8B,blackwell,128,32768,Dense,2,565.8,1.0,353.6923913658113,378.27845735117165,OK,126.7
meta-llama/Meta-Llama-3-8B,blackwell,128,65536,Dense,4,1115.6,1.0,351.8179367218396,376.9343054852096,OK,124.6
meta-llama/Meta-Llama-3-8B,blackwell,128,65536,Sparse,4,1115.6,0.1,54.67615085370527,63.65199593312794,OK,123.9
meta-llama/Meta-Llama-3-8B,blackwell,128,131072,Dense,8,2215.1,1.0,347.9891658153559,375.7322200856676,OK,129.1
meta-llama/Meta-Llama-3-8B,blackwell,128,131072,Sparse,8,2215.1,0.1,52.75595297376014,61.95122848560204,OK,129.5
mistralai/Mixtral-8x7B-v0.1,blackwell,1,32768,Dense,1,97.7,1.0,19.03800410009044,19.03800410009044,OK,103.9
mistralai/Mixtral-8x7B-v0.1,blackwell,1,32768,Sparse,1,97.7,0.1,13.991732100090436,13.991732100090436,OK,98.6
mistralai/Mixtral-8x7B-v0.1,blackwell,1,65536,Dense,1,102.0,1.0,24.608564100090444,24.608564100090444,OK,98.7
mistralai/Mixtral-8x7B-v0.1,blackwell,2,4096,Dense,1,94.5,1.0,18.13092735715837,18.13092735715837,OK,23.0
mistralai/Mixtral-8x7B-v0.1,blackwell,2,4096,Sparse,1,94.5,0.1,16.902127357158367,16.902127357158367,OK,23.8
mistralai/Mixtral-8x7B-v0.1,blackwell,1,65536,Sparse,1,102.0,0.1,14.581556100090436,14.581556100090436,OK,97.7
mistralai/Mixtral-8x7B-v0.1,blackwell,2,8192,Dense,1,95.5,1.0,19.52356735715837,19.52356735715837,OK,36.9
mistralai/Mixtral-8x7B-v0.1,blackwell,2,8192,Sparse,1,95.5,0.1,17.03319935715837,17.03319935715837,OK,36.8
mistralai/Mixtral-8x7B-v0.1,blackwell,1,131072,Dense,1,110.6,1.0,35.815220100090436,35.815220100090436,OK,117.7
mistralai/Mixtral-8x7B-v0.1,blackwell,1,131072,Sparse,1,110.6,0.1,15.695668100090435,15.695668100090435,OK,122.7
mistralai/Mixtral-8x7B-v0.1,blackwell,1,262144,Sparse,1,127.8,0.1,17.923892100090445,17.923892100090445,OK,120.3
mistralai/Mixtral-8x7B-v0.1,blackwell,2,16384,Dense,1,97.7,1.0,22.325231357158373,22.325231357158373,OK,58.5
mistralai/Mixtral-8x7B-v0.1,blackwell,2,16384,Sparse,1,97.7,0.1,17.29534335715837,17.29534335715837,OK,59.0
mistralai/Mixtral-8x7B-v0.1,blackwell,1,262144,Dense,1,127.8,1.0,58.16299610009044,58.16299610009044,OK,144.1
mistralai/Mixtral-8x7B-v0.1,blackwell,1,524288,Dense,1,162.1,1.0,102.92408410009044,102.92408410009044,OK,136.2
mistralai/Mixtral-8x7B-v0.1,blackwell,1,524288,Sparse,1,162.1,0.1,22.380340100090443,22.380340100090443,OK,140.3
mistralai/Mixtral-8x7B-v0.1,blackwell,1,1048576,Dense,1,230.8,1.0,192.38072410009045,192.38072410009045,OK,151.2
mistralai/Mixtral-8x7B-v0.1,blackwell,1,1048576,Sparse,1,230.8,0.1,31.358772100090444,31.358772100090444,OK,154.1
mistralai/Mixtral-8x7B-v0.1,blackwell,2,32768,Dense,1,102.0,1.0,27.912175357158375,27.912175357158375,OK,98.9
mistralai/Mixtral-8x7B-v0.1,blackwell,2,32768,Sparse,1,102.0,0.1,17.86878335715837,17.86878335715837,OK,99.0
mistralai/Mixtral-8x7B-v0.1,blackwell,2,65536,Dense,1,110.6,1.0,39.10244735715837,39.10244735715837,OK,99.0
mistralai/Mixtral-8x7B-v0.1,blackwell,2,65536,Sparse,1,110.6,0.1,18.99927935715837,18.99927935715837,OK,101.1
mistralai/Mixtral-8x7B-v0.1,blackwell,2,131072,Sparse,1,127.8,0.1,21.22750335715837,21.22750335715837,OK,97.4
mistralai/Mixtral-8x7B-v0.1,blackwell,2,131072,Dense,1,127.8,1.0,61.46660735715838,61.46660735715838,OK,106.3
mistralai/Mixtral-8x7B-v0.1,blackwell,4,4096,Dense,1,95.5,1.0,19.52491135715837,19.52491135715837,OK,33.4
mistralai/Mixtral-8x7B-v0.1,blackwell,4,4096,Sparse,1,95.5,0.1,17.03454335715837,17.03454335715837,OK,36.3
mistralai/Mixtral-8x7B-v0.1,blackwell,2,262144,Dense,1,162.1,1.0,106.21131135715838,106.21131135715838,OK,110.6
