model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s
Llama-2-70b-hf,h100,256,4,811.15,895.03,103.74,116.59,7.819,3113.76,0.0,8.94,68.76
Llama-2-7b-hf,a100,4,4,29.75,33.04,29.75,33.04,1.0,0.0,0.0,244.02,244.02
Llama-2-7b-hf,a100,4,8,25.3,25.3,24.96,24.96,1.014,1.34,0.0,319.47,323.8
Llama-2-7b-hf,a100,4,16,25.3,25.3,24.96,24.96,1.014,1.34,0.0,319.47,323.8
Llama-2-7b-hf,a100,4,32,25.3,25.3,24.96,24.96,1.014,1.34,0.0,319.47,323.8
Llama-2-7b-hf,a100,4,64,25.3,25.3,24.96,24.96,1.014,1.34,0.0,319.47,323.8
Llama-2-7b-hf,a100,4,128,25.3,25.3,24.96,24.96,1.014,1.34,0.0,319.47,323.8
Llama-2-7b-hf,a100,8,4,42.2,46.41,29.75,33.04,1.418,53.49,0.0,173.33,244.02
Llama-2-7b-hf,a100,8,8,46.38,46.38,24.96,24.96,1.858,85.69,0.0,173.42,323.8
Llama-2-7b-hf,a100,8,16,46.38,46.38,24.96,24.96,1.858,85.69,0.0,173.42,323.8
Llama-2-7b-hf,a100,8,32,46.38,46.38,24.96,24.96,1.858,85.69,0.0,173.42,323.8
Llama-2-7b-hf,a100,8,64,46.38,46.38,24.96,24.96,1.858,85.69,0.0,173.42,323.8
Llama-2-7b-hf,a100,16,4,81.45,89.85,29.75,33.04,2.738,227.25,0.0,89.29,244.02
Llama-2-7b-hf,a100,16,8,89.83,89.83,24.96,24.96,3.599,259.46,0.0,89.31,323.8
Llama-2-7b-hf,a100,16,16,89.83,89.83,24.96,24.96,3.599,259.46,0.0,89.31,323.8
Llama-2-7b-hf,a100,16,32,89.83,89.83,24.96,24.96,3.599,259.46,0.0,89.31,323.8
