model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s
meta-llama/Meta-Llama-3-8B,blackwell,32,524288,Dense,8,2215.1,1.0,42.576804354665676,48.67150975897421,OK,18.5
meta-llama/Meta-Llama-3-8B,blackwell,32,786432,Dense,2,3314.6,1.0,198.81305368661495,218.5426068176214,OK,20.7
meta-llama/Meta-Llama-3-8B,blackwell,32,786432,Dense,4,3314.6,1.0,105.167317960191,117.12363000357942,OK,20.9
meta-llama/Meta-Llama-3-8B,blackwell,32,786432,Dense,8,3314.6,1.0,57.877625346665674,65.85137894297421,OK,20.9
meta-llama/Meta-Llama-3-8B,blackwell,32,1048576,Dense,2,4414.1,1.0,268.070003638615,287.25533909955504,OK,23.1
meta-llama/Meta-Llama-3-8B,blackwell,32,1048576,Dense,4,4414.1,1.0,137.379757064191,151.48336837157942,OK,23.3
meta-llama/Meta-Llama-3-8B,blackwell,32,1048576,Dense,8,4414.1,1.0,73.1784463386657,83.03124812697423,OK,23.0
meta-llama/Meta-Llama-3-8B,blackwell,64,131072,Dense,1,1115.6,1.0,143.851147714568,148.6039553358488,OK,15.5
meta-llama/Meta-Llama-3-8B,blackwell,32,2097152,Dense,4,8812.2,1.0,269.450554568191,288.9184284199113,OK,32.2
meta-llama/Meta-Llama-3-8B,blackwell,64,131072,Dense,2,1115.6,1.0,74.22669181735615,83.23545239471649,OK,15.8
meta-llama/Meta-Llama-3-8B,blackwell,64,131072,Dense,4,1115.6,1.0,44.31345099695515,50.77825361632516,OK,15.6
meta-llama/Meta-Llama-3-8B,blackwell,64,131072,Dense,8,1115.6,1.0,33.17780671843495,36.252084666743485,OK,15.7
meta-llama/Meta-Llama-3-8B,blackwell,64,196608,Dense,1,1665.3,1.0,215.79293919825668,215.79293919825668,OK,16.0
meta-llama/Meta-Llama-3-8B,blackwell,64,196608,Dense,2,1665.3,1.0,112.36878991640116,117.5954816653412,OK,16.2
meta-llama/Meta-Llama-3-8B,blackwell,64,196608,Dense,4,1665.3,1.0,60.420500276955146,67.95812280032516,OK,16.1
meta-llama/Meta-Llama-3-8B,blackwell,64,196608,Dense,8,1665.3,1.0,36.63957651247543,44.8422243588501,OK,16.1
