model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s,source
CodeLlama-34b-Instruct-hf,h100,16,128,39.05,39.05,33.71,33.71,1.158,21.39,0.0,206.19,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,32,4,65.27,71.72,52.1,58.54,1.253,52.7,0.0,111.95,137.26,simulated
CodeLlama-34b-Instruct-hf,h100,32,8,71.56,71.56,33.71,33.71,2.123,151.41,0.0,112.19,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,32,16,71.56,71.56,33.71,33.71,2.123,151.41,0.0,112.19,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,32,32,71.56,71.56,33.71,33.71,2.123,151.41,0.0,112.19,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,32,64,71.56,71.56,33.71,33.71,2.123,151.41,0.0,112.19,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,32,128,46.2971,46.2971,33.7100,33.7100,1.3734,12.5871,0.0000,2764.75,3797.09,analytical
CodeLlama-34b-Instruct-hf,h100,64,4,123.99,136.58,52.1,58.54,2.38,312.17,0.0,58.68,137.26,simulated
CodeLlama-34b-Instruct-hf,h100,64,8,136.57,136.57,33.71,33.71,4.051,411.46,0.0,58.69,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,64,16,136.57,136.57,33.71,33.71,4.051,411.46,0.0,58.69,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,64,32,136.57,136.57,33.71,33.71,4.051,411.46,0.0,58.69,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,64,64,136.5800,136.5800,33.7100,33.7100,4.0516,102.8700,0.0000,468.59,1898.55,analytical
CodeLlama-34b-Instruct-hf,h100,64,128,61.5543,61.5543,33.7100,33.7100,1.8260,27.8443,0.0000,2079.47,3797.09,analytical
CodeLlama-34b-Instruct-hf,h100,128,4,243.57,268.74,52.1,58.54,4.675,840.81,0.0,29.8,137.26,simulated
CodeLlama-34b-Instruct-hf,h100,128,8,268.73,268.73,33.71,33.71,7.972,940.09,0.0,29.8,239.15,simulated
